word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
display,NOUN,1,0.09090909090909091,NOUN,0.08279280216351155,5
interactive,ADJ,1,0.09090909090909091,ADJ,0.12368326118326119,6
location,NOUN,1,0.09090909090909091,NOUN,0.09090909090909091,1
public,ADJ,1,0.09090909090909091,ADJ,0.13116883116883116,4
review,NOUN,1,0.09090909090909091,NOUN,0.09090909090909091,2
space,NOUN,1,0.09090909090909091,NOUN,0.21093073593073594,8
tablet,NOUN,1,0.09090909090909091,NOUN,0.09090909090909091,1
unit,NOUN,1,0.09090909090909091,NOUN,0.09090909090909091,1
user,NOUN,1,0.09090909090909091,NOUN,0.13707900244400323,28
wallmounted,ADJ,1,0.09090909090909091,ADJ,0.09545454545454546,2
work,NOUN,1,0.09090909090909091,NOUN,0.12161696328362995,9
headphone,NOUN,1,0.3333333333333333,NOUN,0.2253968253968254,3
level,NOUN,1,0.3333333333333333,NOUN,0.12783056542455037,8
sound,NOUN,1,0.3333333333333333,NOUN,0.16305645065043559,8
glass,NOUN,1,0.5,NOUN,0.3352272727272727,4
space,NOUN,1,0.5,NOUN,0.21093073593073594,8
band,NOUN,1,0.3333333333333333,NOUN,0.3333333333333333,1
schedule,NOUN,1,0.3333333333333333,NOUN,0.21944444444444444,5
wrist,NOUN,1,0.3333333333333333,NOUN,0.23188405797101447,7
much,ADJ,1,0.3333333333333333,ADJ,0.3333333333333333,1
pencil,NOUN,1,0.3333333333333333,NOUN,0.3333333333333333,1
track,NOUN,1,0.3333333333333333,NOUN,0.17916666666666667,6
glass,NOUN,1,0.5,NOUN,0.3352272727272727,4
screen,NOUN,1,0.5,NOUN,0.23628117913832197,8
progress,NOUN,1,0.25,NOUN,0.125,3
table,NOUN,1,0.25,NOUN,0.25297619047619047,5
task,NOUN,1,0.25,NOUN,0.17797619047619048,9
track,NOUN,1,0.25,NOUN,0.17916666666666667,6
break,NOUN,1,0.5,NOUN,0.25277777777777777,4
device,NOUN,1,0.5,NOUN,0.18681245337423827,23
