,filename,word,wordavg,percent_of_total,JSD,final_JSD,dt,vector,Pos,wordCount,doc_id,doc,subcorpus,wordCount_x,wordCount_y
62,2,financial,0.0009250321750321,0.0154639175257731,0.06267287500886286,,12/10/2018,32.0,ADJ,,M17876,32.0,mainstream,23.0,3.0
63,2,future,0.0010859073359073,0.0154639175257731,0.06130307594424775,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,27.0,3.0
64,2,international,0.00132722007722,0.0154639175257731,0.05936166887253304,,12/10/2018,32.0,ADJ,,M17876,32.0,mainstream,33.0,3.0
65,2,cooperative,8.043758043758043e-05,0.0103092783505154,0.05812381857780152,,12/10/2018,32.0,ADJ,,M17876,32.0,mainstream,2.0,2.0
66,2,knife,8.043758043758043e-05,0.0103092783505154,0.05812381857780152,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,2.0,2.0
67,2,splintering,8.043758043758043e-05,0.0103092783505154,0.05812381857780152,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,2.0,2.0
68,2,apology,0.0001206563706563,0.0103092783505154,0.05743494807398852,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,3.0,2.0
69,2,edge,0.0001206563706563,0.0103092783505154,0.05743494807398852,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,3.0,2.0
70,2,fog,0.0001206563706563,0.0103092783505154,0.05743494807398852,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,3.0,2.0
71,2,limitation,0.0001206563706563,0.0103092783505154,0.05743494807398852,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,3.0,2.0
72,2,internet,0.0001608751608751,0.0103092783505154,0.05679722023715935,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,4.0,2.0
73,2,asset,0.0003619691119691,0.0103092783505154,0.05404184898115639,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,9.0,2.0
74,2,capital,0.0004021879021879,0.0103092783505154,0.05354768974157276,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,10.0,2.0
75,2,rule,0.0005228442728442,0.0103092783505154,0.052142002639341115,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,13.0,2.0
76,2,unprecedented,0.0005228442728442,0.0103092783505154,0.052142002639341115,,12/10/2018,32.0,ADJ,,M17876,32.0,mainstream,13.0,2.0
77,2,year,0.0076817889317889,,0.05166923517855884,,,,,,,,,191.0,
78,2,letter,0.0006032818532818,0.0103092783505154,0.05125781953213253,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,15.0,2.0
79,2,version,0.0006032818532818,0.0103092783505154,0.05125781953213253,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,15.0,2.0
80,2,company,0.0069176319176319,,0.04902520787637856,,,,,,,,,172.0,
81,2,big,0.0029761904761904,0.0154639175257731,0.04832646044674182,,12/10/2018,32.0,ADJ,,M17876,32.0,mainstream,74.0,3.0
82,2,issue,0.0009250321750321,0.0103092783505154,0.04802916227723175,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,23.0,2.0
83,2,people,0.0066361003861003,,0.04801479147912867,,,,,,,,,165.0,
84,2,investor,0.0009652509652509,0.0103092783505154,0.04765321193172152,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,24.0,2.0
85,2,time,0.006515444015444,,0.04757525148348658,,,,,,,,,162.0,
86,2,law,0.0011663449163449,0.0103092783505154,0.04584585894517199,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,29.0,2.0
87,2,policy,0.0012065637065637,0.0103092783505154,0.04549747228867081,,12/10/2018,32.0,NOUN,,M17876,32.0,mainstream,30.0,2.0
88,2,new,0.0067567567567567,0.0206185567010309,0.043163198848863875,,12/10/2018,32.0,ADJ,,M17876,32.0,mainstream,168.0,4.0
89,2,health,0.005349099099099,,0.04309805892323022,,,,,,,,,133.0,
90,3,couture,0.0001206563706563,0.0454545454545454,0.12505928399306138,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,3.0,2.0
91,3,alien,0.0002413127413127,0.0454545454545454,0.12387689872824562,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,6.0,2.0
92,3,model,0.0006435006435006,0.0454545454545454,0.12057955800914737,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,16.0,2.0
93,3,algerian,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
94,3,bodice,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
95,3,cap,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
96,3,corseted,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
97,3,cutaway,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
98,3,designer,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
99,3,dune,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
100,3,fluffy,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
101,3,gown,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
102,3,imagination,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
103,3,literalism,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
104,3,metallic,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
105,3,neon,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
106,3,otherworldly,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
107,3,roadside,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
108,3,sand,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
109,3,unpublished,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
110,3,waist,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,1.0,1.0
111,3,wry,4.021879021879022e-05,0.0227272727272727,0.0883636305291339,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,1.0,1.0
112,3,futuristic,8.043758043758043e-05,0.0227272727272727,0.08776173778271297,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,2.0,1.0
113,3,glove,8.043758043758043e-05,0.0227272727272727,0.08776173778271297,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,2.0,1.0
114,3,photograph,8.043758043758043e-05,0.0227272727272727,0.08776173778271297,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,2.0,1.0
115,3,fantasy,0.0001206563706563,0.0227272727272727,0.08721583101597723,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,3.0,1.0
116,3,legend,0.0001206563706563,0.0227272727272727,0.08721583101597723,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,3.0,1.0
117,3,shiny,0.0001206563706563,0.0227272727272727,0.08721583101597723,,06/03/2020,33.0,ADJ,,M0c23d,33.0,mainstream,3.0,1.0
118,3,attraction,0.0001608751608751,0.0227272727272727,0.08670569690791526,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,4.0,1.0
119,3,creature,0.0002010939510939,0.0227272727272727,0.08622181109442333,,06/03/2020,33.0,NOUN,,M0c23d,33.0,mainstream,5.0,1.0
120,4,cart,0.000563063063063,0.0443037974683544,0.11950737930763279,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,14.0,7.0
121,4,treatment,0.0028153153153153,0.0443037974683544,0.10592283147778138,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,70.0,7.0
122,4,cell,0.0011663449163449,0.0379746835443038,0.10542646961938469,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,29.0,6.0
123,4,patient,0.0043034105534105,0.0443037974683544,0.09889866073327107,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,107.0,7.0
124,4,immune,0.0006837194337194,0.0316455696202531,0.09833508579018212,,02/09/2019,27.0,ADJ,,M1f98b,27.0,mainstream,17.0,5.0
125,4,therapy,0.0007239382239382,0.0316455696202531,0.09801242938407054,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,18.0,5.0
126,4,cancer,0.0032175032175032,0.0316455696202531,0.08258295957022016,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,80.0,5.0
127,4,leukaemia,0.0001206563706563,0.0189873417721519,0.0793823461865912,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,3.0,3.0
128,4,clinical,0.0009652509652509,0.0189873417721519,0.07087701944970765,,02/09/2019,27.0,ADJ,,M1f98b,27.0,mainstream,24.0,3.0
129,4,result,0.0014880952380952,0.0189873417721519,0.066842342483411,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,37.0,3.0
130,4,incurable,8.043758043758043e-05,0.0126582278481012,0.06473786129132082,,02/09/2019,27.0,ADJ,,M1f98b,27.0,mainstream,2.0,2.0
131,4,recurrence,8.043758043758043e-05,0.0126582278481012,0.06473786129132082,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,2.0,2.0
132,4,remission,0.0001206563706563,0.0126582278481012,0.06408798840202348,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,3.0,2.0
133,4,promising,0.0001608751608751,0.0126582278481012,0.06348480192742165,,02/09/2019,27.0,ADJ,,M1f98b,27.0,mainstream,4.0,2.0
134,4,trial,0.0021315958815958,0.0189873417721519,0.0624568845114081,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,53.0,3.0
135,4,available,0.0008445945945945,0.0126582278481012,0.055838672465242815,,02/09/2019,27.0,ADJ,,M1f98b,27.0,mainstream,21.0,2.0
136,4,year,0.0076817889317889,0.0253164556962025,0.050228706831516694,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,191.0,4.0
137,4,company,0.0069176319176319,,0.04902520787637856,,,,,,,,,172.0,
138,4,bloodstream,4.021879021879022e-05,0.0063291139240506,0.04572202885488209,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,1.0,1.0
139,4,bone,4.021879021879022e-05,0.0063291139240506,0.04572202885488209,,02/09/2019,27.0,NOUN,,M1f98b,27.0,mainstream,1.0,1.0
