word,Pos_x,wordCount_x,dt,doc_id,doc,subcorpus,percent_of_total,Pos_y,avg_freq,wordCount_y,prevalence,wordavg
prominent,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.003368860414524889,5,0.05,0.00020109395109395108
quarter,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0032298920428394775,6,0.06,0.00024131274131274132
question,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004923206597610444,30,0.3,0.0012065637065637065
rarity,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004784688995215311,1,0.01,4.021879021879022e-05
rash,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.005333520968195891,2,0.02,8.043758043758043e-05
red,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.00334857213872935,6,0.06,0.00024131274131274132
relationship,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.003830266879165198,13,0.13,0.0005228442728442728
research,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.010649541199591512,82,0.82,0.003297940797940798
researcher,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.007604675908355522,30,0.3,0.0012065637065637065
respect,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.006898977664205971,6,0.06,0.00024131274131274132
role,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004191910357077122,22,0.22,0.0008848133848133849
rubella,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0045885377626149765,4,0.04,0.00016087516087516087
safe,ADJ,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,ADJ,0.00601780118043531,24,0.24,0.0009652509652509653
same,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.007241081978318637,42,0.42,0.0016891891891891893
sample,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.007455355414093349,13,0.13,0.0005228442728442728
serious,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0059824333819543515,18,0.18,0.0007239382239382239
sign,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.003157602872037741,11,0.11,0.0004424066924066924
significant,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.005856804479822001,20,0.2,0.0008043758043758043
similar,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0029330455729563148,12,0.12,0.00048262548262548264
skin,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00516734728827365,10,0.1,0.00040218790218790216
son,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.007409959279550159,11,0.11,0.0004424066924066924
study,NOUN,6,04/09/2008,M113e9,1,mainstream,0.028708133971291867,NOUN,0.016973085382318603,98,0.98,0.003941441441441441
subgroup,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00535092437926446,2,0.02,8.043758043758043e-05
suffering,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.003841619859926496,3,0.03,0.00012065637065637066
surge,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004583970749384283,3,0.03,0.00012065637065637066
symptom,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.006419228881202858,13,0.13,0.0005228442728442728
system,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.008486609998257472,60,0.6,0.002413127413127413
team,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.007660671460568508,25,0.25,0.0010054697554697555
technology,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.011232131491440228,60,0.6,0.002413127413127413
test,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.011373897948156486,55,0.55,0.0022120334620334622
thousand,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.006567071798089035,26,0.26,0.0010456885456885457
tissue,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.007400873268231651,7,0.07,0.00028153153153153153
trace,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.006692630001087172,11,0.11,0.0004424066924066924
turn,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.004159410898268411,6,0.06,0.00024131274131274132
unvaccinated,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.025328124314121417,6,0.06,0.00024131274131274132
vaccination,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.010263992857520077,20,0.2,0.0008043758043758043
vaccine,NOUN,10,04/09/2008,M113e9,1,mainstream,0.04784688995215311,NOUN,0.023958652775140234,90,0.9,0.00361969111969112
virus,NOUN,7,04/09/2008,M113e9,1,mainstream,0.03349282296650718,NOUN,0.014944106583493232,81,0.81,0.0032577220077220077
waste,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0049118074112904754,8,0.08,0.00032175032175032174
work,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.007632549118769127,36,0.36,0.0014478764478764478
year,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.01276286420907823,191,1.91,0.007681788931788932
young,ADJ,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,ADJ,0.006439091231826014,18,0.18,0.0007239382239382239
youngster,NOUN,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.009322956239604083,4,0.04,0.00016087516087516087
aftermath,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.01578813343519226,2,0.02,8.043758043758043e-05
american,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.007748041702822314,15,0.15,0.0006032818532818533
attraction,NOUN,2,30/11/2011,M18a98,2,mainstream,0.058823529411764705,NOUN,0.028858642589059378,4,0.04,0.00016087516087516087
building,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.007294696395457388,12,0.12,0.00048262548262548264
child,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.01683827913236771,67,0.67,0.0026946589446589448
contributor,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.015699918138229445,2,0.02,8.043758043758043e-05
cult,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.01578813343519226,2,0.02,8.043758043758043e-05
cyanide,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.029411764705882353,1,0.01,4.021879021879022e-05
day,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.006860551520733784,45,0.45,0.00180984555984556
dead,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.00817003223701168,6,0.06,0.00024131274131274132
death,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.018809146928500386,60,0.6,0.002413127413127413
excerpt,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.010498178268033113,5,0.05,0.00020109395109395108
first,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.008654419278606301,83,0.83,0.003338159588159588
follower,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.029411764705882353,1,0.01,4.021879021879022e-05
government,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.009737191269381594,109,1.09,0.004383848133848134
grim,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.029411764705882353,1,0.01,4.021879021879022e-05
grisly,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.029411764705882353,1,0.01,4.021879021879022e-05
history,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.007065239709319477,28,0.28,0.0011261261261261261
jonestown,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.029411764705882353,1,0.01,4.021879021879022e-05
jungle,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.029411764705882353,1,0.01,4.021879021879022e-05
leader,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.006576841132652197,28,0.28,0.0011261261261261261
local,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.00733965052803196,15,0.15,0.0006032818532818533
man,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.006926247404292682,24,0.24,0.0009652509652509653
massacre,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.029411764705882353,1,0.01,4.021879021879022e-05
more,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.009654544511427917,142,1.42,0.005711068211068211
program,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.010276601971114059,6,0.06,0.00024131274131274132
report,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.007495661724187802,45,0.45,0.00180984555984556
story,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.008852373731542306,49,0.49,0.0019707207207207205
superstitious,ADJ,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,ADJ,0.029411764705882353,1,0.01,4.021879021879022e-05
today,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.008551079677859867,27,0.27,0.001085907335907336
tourist,NOUN,2,30/11/2011,M18a98,2,mainstream,0.058823529411764705,NOUN,0.02286567525937085,7,0.07,0.00028153153153153153
year,NOUN,1,30/11/2011,M18a98,2,mainstream,0.029411764705882353,NOUN,0.01276286420907823,191,1.91,0.007681788931788932
10bn,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0026189436927106066,2,0.02,8.043758043758043e-05
1970,NOUN,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,NOUN,0.0061584898495846765,10,0.1,0.00040218790218790216
1980,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0032680320863408188,4,0.04,0.00016087516087516087
25bn,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0036618147621068752,2,0.02,8.043758043758043e-05
39bn,NOUN,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,NOUN,0.0028129395218002813,2,0.02,8.043758043758043e-05
59th,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
6th,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
70,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
74bn,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
80,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
89bn,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
92nd,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
More,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0031391255534105487,12,0.12,0.00048262548262548264
able,ADJ,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,ADJ,0.004759424326151626,23,0.23,0.0009250321750321751
absence,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.004039736541759192,3,0.03,0.00012065637065637066
accessible,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.0027735147973385376,4,0.04,0.00016087516087516087
additional,ADJ,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,ADJ,0.004937829043707666,8,0.08,0.00032175032175032174
administration,NOUN,3,26/05/2020,M0ea6f,3,mainstream,0.004219409282700422,NOUN,0.005051566133727681,13,0.13,0.0005228442728442728
advisory,NOUN,1,26/05/2020,M0ea6f,3,mainstream,0.0014064697609001407,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
affordable,ADJ,2,26/05/2020,M0ea6f,3,mainstream,0.0028129395218002813,ADJ,0.005586730808854488,6,0.06,0.00024131274131274132
