Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,1,30,0.09090909090909091,NOUN,0.09090909090909091,1
ADJ,1,30,0.09090909090909091,ADJ,0.13116883116883116,4
NOUN,1,30,0.09090909090909091,NOUN,0.09090909090909091,2
NOUN,1,30,0.09090909090909091,NOUN,0.21093073593073594,8
NOUN,1,30,0.09090909090909091,NOUN,0.09090909090909091,1
NOUN,1,30,0.09090909090909091,NOUN,0.09090909090909091,1
NOUN,1,30,0.09090909090909091,NOUN,0.13707900244400323,28
ADJ,1,30,0.09090909090909091,ADJ,0.09545454545454546,2
NOUN,1,30,0.09090909090909091,NOUN,0.12161696328362995,9
NOUN,1,50,0.3333333333333333,NOUN,0.2253968253968254,3
NOUN,1,50,0.3333333333333333,NOUN,0.12783056542455037,8
NOUN,1,50,0.3333333333333333,NOUN,0.16305645065043559,8
NOUN,1,51,0.5,NOUN,0.3352272727272727,4
NOUN,1,51,0.5,NOUN,0.21093073593073594,8
NOUN,1,52,0.3333333333333333,NOUN,0.3333333333333333,1
NOUN,1,52,0.3333333333333333,NOUN,0.21944444444444444,5
NOUN,1,52,0.3333333333333333,NOUN,0.23188405797101447,7
ADJ,1,53,0.3333333333333333,ADJ,0.3333333333333333,1
NOUN,1,53,0.3333333333333333,NOUN,0.3333333333333333,1
NOUN,1,53,0.3333333333333333,NOUN,0.17916666666666667,6
NOUN,1,54,0.5,NOUN,0.3352272727272727,4
NOUN,1,54,0.5,NOUN,0.23628117913832197,8
NOUN,1,55,0.25,NOUN,0.125,3
NOUN,1,55,0.25,NOUN,0.25297619047619047,5
NOUN,1,55,0.25,NOUN,0.17797619047619048,9
NOUN,1,55,0.25,NOUN,0.17916666666666667,6
NOUN,1,56,0.5,NOUN,0.25277777777777777,4
NOUN,1,56,0.5,NOUN,0.18681245337423827,23
NOUN,1,57,0.3333333333333333,NOUN,0.2222222222222222,2
NOUN,1,57,0.3333333333333333,NOUN,0.20833333333333331,2
NOUN,1,57,0.3333333333333333,NOUN,0.13707900244400323,28
NOUN,1,58,0.2,NOUN,0.2,1
NOUN,1,58,0.2,NOUN,0.17142857142857143,2
ADJ,1,58,0.2,ADJ,0.2,1
NOUN,1,58,0.2,NOUN,0.13707900244400323,28
NOUN,1,58,0.2,NOUN,0.19894179894179895,4
NOUN,1,59,0.3333333333333333,NOUN,0.18502415458937196,3
NOUN,1,59,0.3333333333333333,NOUN,0.26666666666666666,2
NOUN,1,59,0.3333333333333333,NOUN,0.1923076923076923,3
ADJ,1,60,0.25,ADJ,0.18097643097643099,4
NOUN,1,60,0.25,NOUN,0.1275477340694732,10
NOUN,1,60,0.25,NOUN,0.3352272727272727,4
NOUN,1,60,0.25,NOUN,0.18273809523809523,8
NOUN,1,61,0.3333333333333333,NOUN,0.3333333333333333,1
NOUN,1,61,0.3333333333333333,NOUN,0.3333333333333333,2
NOUN,1,61,0.3333333333333333,NOUN,0.2375,4
