vector,word,Pos,wordCount,percent_of_total
75,environment,NOUN,1,0.02564102564102564
75,feeling,NOUN,1,0.02564102564102564
75,intensity,NOUN,1,0.02564102564102564
75,jazz,NOUN,1,0.02564102564102564
75,level,NOUN,1,0.02564102564102564
75,light,NOUN,5,0.1282051282051282
75,low,ADJ,1,0.02564102564102564
75,music,NOUN,1,0.02564102564102564
75,natural,ADJ,1,0.02564102564102564
75,noise,NOUN,1,0.02564102564102564
75,perfect,ADJ,1,0.02564102564102564
75,relaxing,ADJ,1,0.02564102564102564
75,simple,ADJ,1,0.02564102564102564
75,subtle,ADJ,1,0.02564102564102564
75,warm,ADJ,2,0.05128205128205128
75,yelloworange,NOUN,1,0.02564102564102564
76,background,NOUN,1,0.02631578947368421
76,base,NOUN,1,0.02631578947368421
76,bright,ADJ,1,0.02631578947368421
76,button,NOUN,1,0.02631578947368421
76,cm,NOUN,2,0.05263157894736842
76,color,NOUN,1,0.02631578947368421
76,current,ADJ,1,0.02631578947368421
76,cylindrical,ADJ,1,0.02631578947368421
76,device,NOUN,3,0.07894736842105263
76,diameter,NOUN,1,0.02631578947368421
76,display,NOUN,1,0.02631578947368421
76,flat,ADJ,1,0.02631578947368421
76,front,ADJ,1,0.02631578947368421
76,height,NOUN,1,0.02631578947368421
76,intensity,NOUN,1,0.02631578947368421
76,knob,NOUN,1,0.02631578947368421
76,led,NOUN,1,0.02631578947368421
76,level,NOUN,1,0.02631578947368421
76,light,ADJ,3,0.07894736842105263
76,material,NOUN,1,0.02631578947368421
76,noise,NOUN,1,0.02631578947368421
76,panel,NOUN,1,0.02631578947368421
76,plastic,NOUN,1,0.02631578947368421
76,portable,ADJ,1,0.02631578947368421
76,round,ADJ,1,0.02631578947368421
76,setting,NOUN,2,0.05263157894736842
76,several,ADJ,1,0.02631578947368421
76,small,ADJ,1,0.02631578947368421
76,sound,ADJ,1,0.02631578947368421
76,surface,NOUN,1,0.02631578947368421
76,user,NOUN,1,0.02631578947368421
76,white,ADJ,1,0.02631578947368421
77,name,NOUN,1,1.0
78,cushion,NOUN,1,0.3333333333333333
78,posture,NOUN,1,0.3333333333333333
78,proper,ADJ,1,0.3333333333333333
79,name,NOUN,1,1.0
80,name,NOUN,1,1.0
81,name,NOUN,1,1.0
82,name,NOUN,1,1.0
83,box,NOUN,1,0.021739130434782608
83,button,NOUN,1,0.021739130434782608
83,computer,NOUN,1,0.021739130434782608
83,control,NOUN,2,0.043478260869565216
83,day,NOUN,1,0.021739130434782608
83,deep,ADJ,1,0.021739130434782608
83,device,NOUN,2,0.043478260869565216
83,dial,NOUN,1,0.021739130434782608
83,digital,ADJ,1,0.021739130434782608
83,display,NOUN,1,0.021739130434782608
83,duration,NOUN,1,0.021739130434782608
83,ergonomic,ADJ,1,0.021739130434782608
83,forearm,ADJ,1,0.021739130434782608
83,gentle,ADJ,1,0.021739130434782608
83,hand,NOUN,1,0.021739130434782608
83,help,NOUN,1,0.021739130434782608
83,intensity,NOUN,1,0.021739130434782608
83,interface,NOUN,1,0.021739130434782608
83,long,ADJ,1,0.021739130434782608
83,massage,NOUN,4,0.08695652173913043
83,mode,NOUN,1,0.021739130434782608
83,muscle,NOUN,1,0.021739130434782608
83,rest,NOUN,2,0.043478260869565216
83,several,ADJ,1,0.021739130434782608
83,shape,NOUN,1,0.021739130434782608
83,slider,NOUN,1,0.021739130434782608
83,soft,ADJ,1,0.021739130434782608
83,strain,NOUN,2,0.043478260869565216
83,such,ADJ,1,0.021739130434782608
83,tangible,ADJ,1,0.021739130434782608
83,tissue,NOUN,1,0.021739130434782608
83,user,NOUN,1,0.021739130434782608
83,variety,NOUN,1,0.021739130434782608
83,wrist,NOUN,6,0.13043478260869565
84,cm,NOUN,2,0.05
84,computer,NOUN,1,0.025
84,current,ADJ,1,0.025
84,day,NOUN,1,0.025
84,daytoday,NOUN,1,0.025
84,device,NOUN,3,0.075
84,digital,ADJ,1,0.025
84,display,NOUN,1,0.025
84,durable,ADJ,1,0.025
84,finish,NOUN,1,0.025
84,glossy,ADJ,1,0.025
84,length,NOUN,1,0.025
84,list,NOUN,1,0.025
84,material,NOUN,1,0.025
84,one,NOUN,1,0.025
84,plastic,NOUN,1,0.025
84,progress,NOUN,1,0.025
84,rectangular,ADJ,1,0.025
84,reminder,NOUN,1,0.025
84,schedule,NOUN,3,0.075
84,smartphone,NOUN,1,0.025
84,smooth,ADJ,1,0.025
84,surface,NOUN,2,0.05
84,tangible,ADJ,1,0.025
84,task,NOUN,4,0.1
84,todo,ADJ,1,0.025
84,top,NOUN,1,0.025
84,track,NOUN,1,0.025
84,user,NOUN,2,0.05
84,width,NOUN,1,0.025
85,bad,ADJ,1,0.03571428571428571
85,breathable,ADJ,1,0.03571428571428571
85,comfort,NOUN,1,0.03571428571428571
85,fabric,NOUN,1,0.03571428571428571
85,foam,NOUN,1,0.03571428571428571
85,goal,NOUN,1,0.03571428571428571
85,pillow,NOUN,5,0.17857142857142858
85,posture,NOUN,5,0.17857142857142858
85,sensor,NOUN,1,0.03571428571428571
85,smart,ADJ,2,0.07142857142857142
85,smartphone,NOUN,1,0.03571428571428571
85,soft,ADJ,1,0.03571428571428571
85,supportive,ADJ,1,0.03571428571428571
85,time,NOUN,1,0.03571428571428571
85,user,NOUN,4,0.14285714285714285
85,well,ADJ,1,0.03571428571428571
99,computer,NOUN,1,0.25
99,portable,ADJ,1,0.25
99,screen,NOUN,2,0.5
100,bumpy,ADJ,1,0.2
100,desk,NOUN,1,0.2
100,portable,ADJ,1,0.2
100,ride,NOUN,1,0.2
100,stable,ADJ,1,0.2
101,portable,ADJ,1,0.2
101,unreliablenonexistent,ADJ,1,0.2
101,way,NOUN,1,0.2
101,wifi,NOUN,2,0.4
102,background,NOUN,1,0.16666666666666666
102,call,NOUN,1,0.16666666666666666
102,noise,NOUN,1,0.16666666666666666
102,people,NOUN,1,0.16666666666666666
102,video,NOUN,1,0.16666666666666666
102,way,NOUN,1,0.16666666666666666
103,app,NOUN,1,0.25
103,area,NOUN,1,0.25
103,question,NOUN,1,0.25
103,trivia,ADJ,1,0.25
104,area,NOUN,1,0.16666666666666666
104,competition,NOUN,1,0.16666666666666666
104,game,NOUN,2,0.3333333333333333
104,other,ADJ,1,0.16666666666666666
104,people,NOUN,1,0.16666666666666666
105,people,NOUN,1,0.2
105,public,ADJ,1,0.2
105,room,NOUN,1,0.2
105,transportation,NOUN,1,0.2
105,vehicle,NOUN,1,0.2
106,audio,ADJ,1,0.3333333333333333
106,flashcard,NOUN,1,0.3333333333333333
106,question,NOUN,1,0.3333333333333333
107,buddy,NOUN,1,0.08333333333333333
