vector,word,wordCount,dt,doc_id,doc,percent_of_total
3,administration,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,advisory,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,affordable,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,afternoon,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,aid,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,alchemy,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,anchor,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,anew,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,annual,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,antiquated,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,apartment,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,app,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,appeal,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,architecture,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,ardent,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,area,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,art,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,article,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,attack,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,authority,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,bad,3,26/05/2020,M0ea6f,3,0.0042194092827004
3,bailout,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,bankruptcy,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,base,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,basic,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,bastion,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,beautiful,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,big,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,billion,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,billionaire,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,bluestate,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,breakpoint,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,brutal,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,budget,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,building,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,burden,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,business,5,26/05/2020,M0ea6f,3,0.0070323488045007
3,button,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cake,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,campaign,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,capital,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,car,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,careful,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,case,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,catastrophe,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cent,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,centre,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,certain,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,chairman,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,challenge,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,challenging,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,champagne,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,chance,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,characteristic,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,charitable,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cheap,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,cheaper,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cheapmoney,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,chef,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,chief,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,circle,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,circulatory,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,city,24,26/05/2020,M0ea6f,3,0.0337552742616033
3,citys,6,26/05/2020,M0ea6f,3,0.0084388185654008
3,civic,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,class,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cleaner,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cleaning,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,cleanliness,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,collaboration,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,community,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,company,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,complicated,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,conclusion,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,confidence,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,consensus,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,consequential,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,constructive,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,convenient,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,convention,1,26/05/2020,M0ea6f,3,0.0014064697609001
3,coronavirus,4,26/05/2020,M0ea6f,3,0.0056258790436005
3,cost,2,26/05/2020,M0ea6f,3,0.0028129395218002
3,course,1,26/05/2020,M0ea6f,3,0.0014064697609001
