vector,word,wordCount_x,dt,doc_id,doc,percent_of_total,wordCount_y,wordavg
3,1980,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,25bn,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,39bn,2,26/05/2020,M0ea6f,3,0.0028129395218002,2,0.0028129395218002
3,59th,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,6th,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,70,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,74bn,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,80,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,89bn,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,92nd,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,More,1,26/05/2020,M0ea6f,3,0.0014064697609001,2,0.0016836270373127
3,able,2,26/05/2020,M0ea6f,3,0.0028129395218002,4,0.0032298929087401
3,absence,1,26/05/2020,M0ea6f,3,0.0014064697609001,2,0.0017492599850525
3,accessible,1,26/05/2020,M0ea6f,3,0.0014064697609001,2,0.0022755619244752
3,additional,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,administration,3,26/05/2020,M0ea6f,3,0.0042194092827004,3,0.0042194092827004
3,advisory,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,affordable,2,26/05/2020,M0ea6f,3,0.0028129395218002,2,0.0028129395218002
3,afternoon,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,aid,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,alchemy,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,anchor,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
3,anew,1,26/05/2020,M0ea6f,3,0.0014064697609001,1,0.0014064697609001
